name,space,r,g,b,hex
Chromatic-Dorval-CH2-0965-BRUN-ALGARVE,RGB,151,119,100,#977764
Chromatic-Dorval-CH2-0966-BEIGE-PLAGE,RGB,191,167,141,#BFA78D
Chromatic-Dorval-CH2-0967-BEIGE-PERLITE,RGB,173,147,124,#AD937C
Chromatic-Dorval-CH2-0968-BEIGE-CASTINE,RGB,169,145,121,#A99179
Chromatic-Dorval-CH2-0969-BRUN-VADUZ,RGB,149,125,102,#957D66
Chromatic-Dorval-CH2-0970-BRUN-TOUR-EIFFEL,RGB,119,98,82,#776252
Chromatic-Dorval-CH2-0971-BEIGE-SILICE,RGB,215,197,171,#D7C5AB
Chromatic-Dorval-CH2-0972-BEIGE-AKAN,RGB,209,189,169,#D1BDA9
Chromatic-Dorval-CH2-0973-BEIGE-SABLON,RGB,205,183,155,#CDB79B
Chromatic-Dorval-CH2-0974-BEIGE-CAILLOUX,RGB,205,185,163,#CDB9A3
Chromatic-Dorval-CH2-0975-BEIGE-BAMANA,RGB,187,167,147,#BBA793
Chromatic-Dorval-CH2-0976-BEIGE-FELDSPATH,RGB,215,191,163,#D7BFA3
Chromatic-Dorval-CH2-0977-BEIGE-FANGS,RGB,221,189,149,#DDBD95
Chromatic-Dorval-CH2-0978-BEIGE-DOUALA,RGB,189,153,122,#BD997A
Chromatic-Dorval-CH2-0979-BEIGE-BOYELA,RGB,185,157,129,#B99D81
Chromatic-Dorval-CH2-0980-BEIGE-AJA,RGB,177,149,120,#B19578
Chromatic-Dorval-CH2-0981-BEIGE-ALBATRE,RGB,197,177,147,#C5B193
Chromatic-Dorval-CH2-0982-BEIGE-MAU,RGB,195,171,139,#C3AB8B
Chromatic-Dorval-CH2-0983-BRUN-PICO,RGB,175,145,117,#AF9175
Chromatic-Dorval-CH2-0984-BRUN-VERCORS,RGB,167,141,105,#A78D69
Chromatic-Dorval-CH2-0985-BRUN-ORANIE,RGB,147,125,99,#937D63
Chromatic-Dorval-CH2-0986-BEIGE-BOLIA,RGB,211,187,149,#D3BB95
Chromatic-Dorval-CH2-0987-BEIGE-TENDA,RGB,207,179,131,#CFB383
Chromatic-Dorval-CH2-0988-BEIGE-TOPAZE,RGB,203,185,145,#CBB991
Chromatic-Dorval-CH2-0989-BEIGE-TAWANA,RGB,191,161,118,#BFA176
Chromatic-Dorval-CH2-0990-BEIGE-TADRART,RGB,199,169,124,#C7A97C
Chromatic-Dorval-CH2-0991-BEIGE-CARRARE,RGB,187,177,153,#BBB199
Chromatic-Dorval-CH2-0992-BEIGE-CACHEMIRE,RGB,183,167,143,#B7A78F
Chromatic-Dorval-CH2-0993-BEIGE-PEUL,RGB,163,149,120,#A39578
Chromatic-Dorval-CH2-0994-BRUN-NAIRN,RGB,157,139,107,#9D8B6B
Chromatic-Dorval-CH2-0995-BEIGE-ZOULOU,RGB,135,122,95,#877A5F
Chromatic-Dorval-CH2-0996-BRUN-GALICE,RGB,181,173,155,#B5AD9B
Chromatic-Dorval-CH2-0997-BRUN-ASTURIE,RGB,161,153,137,#A19989
Chromatic-Dorval-CH2-0998-BRUN-CASTILLE,RGB,145,135,123,#91877B
Chromatic-Dorval-CH2-0999-BRUN-LIGURIE,RGB,153,139,121,#998B79
Chromatic-Dorval-CH2-1000-BRUN-LOTHIAN,RGB,139,122,103,#8B7A67
Chromatic-Dorval-CH2-1001-BEIGE-KAOLIN,RGB,185,179,169,#B9B3A9
Chromatic-Dorval-CH2-1002-BRUN-LOZERE,RGB,169,159,147,#A99F93
Chromatic-Dorval-CH2-1003-BRUN-CANTAL,RGB,161,151,135,#A19787
Chromatic-Dorval-CH2-1004-BRUN-ASSOUAN,RGB,167,155,137,#A79B89
Chromatic-Dorval-CH2-1005-GRIS-MEXICO,RGB,161,153,137,#A19989
Chromatic-Dorval-CH2-1006-GRIS-RANGOON,RGB,191,183,169,#BFB7A9
Chromatic-Dorval-CH2-1007-BEIGE-KIKUYU,RGB,177,165,145,#B1A591
Chromatic-Dorval-CH2-1008-BEIGE-LIAIS,RGB,177,163,143,#B1A38F
Chromatic-Dorval-CH2-1009-BEIGE-PAESINA,RGB,175,161,139,#AFA18B
Chromatic-Dorval-CH2-1010-BEIGE-CORINDON,RGB,159,143,121,#9F8F79
Chromatic-Dorval-CH2-1011-BEIGE-BANTOU,RGB,223,219,215,#DFDBD7
Chromatic-Dorval-CH2-1012-BLANC-FLUMET,RGB,235,235,227,#EBEBE3
Chromatic-Dorval-CH2-1013-GRIS-COUPE,RGB,209,205,197,#D1CDC5
Chromatic-Dorval-CH2-1014-BEIGE-PIERRE-DE-LUNE,RGB,195,189,177,#C3BDB1
Chromatic-Dorval-CH2-1015-BEIGE-WES,RGB,211,201,185,#D3C9B9
Chromatic-Dorval-CH2-1016-BEIGE-CIMENT,RGB,211,205,193,#D3CDC1
Chromatic-Dorval-CH2-1017-BEIGE-KYANITE,RGB,199,191,171,#C7BFAB
Chromatic-Dorval-CH2-1018-BRUN-AMAPA,RGB,209,201,187,#D1C9BB
Chromatic-Dorval-CH2-1019-POIVRE-DE-SICHUAN,RGB,193,187,183,#C1BBB7
Chromatic-Dorval-CH2-1020-BATON-DE-REGLISSE,RGB,169,157,149,#A99D95
Chromatic-Dorval-CH2-1021-BEIGE-SEDIMENT,RGB,221,213,201,#DDD5C9
Chromatic-Dorval-CH2-1022-GRIS-PETIT-CHEVAL,RGB,205,197,185,#CDC5B9
